"","Viet Nam","Venezuela (Bolivarian Republic of)","Uzbekistan","Uruguay","United States of America","Ukraine","United Kingdom","Uganda","United Arab Emirates","Turkey","Trinidad and Tobago","Thailand","United Republic of Tanzania","China, Taiwan Province of","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Sudan (former)","Spain","South Africa","Singapore","Slovakia","Slovenia","Sierra Leone","Saudi Arabia","Serbia and Montenegro","Russian Federation","Romania","Zimbabwe","Qatar","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands Antilles (former)","Netherlands","Nepal","Republic of Moldova","Mozambique","Morocco","Mexico","Mauritius","Mauritania","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","C??te d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Estonia","El Salvador","Egypt","Ecuador","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Myanmar","Bulgaria","Brunei Darussalam","Belize","Aruba","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Bahamas","Austria","Australia","Argentina","Angola","Algeria","Albania","Afghanistan"
"Nicaragua","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"New Zealand","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"The former Yugoslav Republic of Macedonia","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"New Caledonia","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Netherlands Antilles (former)","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Netherlands","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Nepal","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00","44.88678","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Republic of Moldova","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Mozambique","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Morocco","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Mexico","     0.0","0","0.000000","   0.000","3027788.8196"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","2469757.19","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Mauritius","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Mauritania","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Malta","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Maldives","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Malaysia","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Malawi","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Madagascar","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"China, Macao SAR","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Lithuania","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Libya","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Lebanon","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
"Lao People's Democratic Republic","     0.0","0","0.000000","   0.000","      0.0000"," 0.00000","    0.00000","0","    0.00000","     0.00000","0","     0.0000","0","     0.0000","    0.00","   0.0000","    0.000000","0","0","    0.000","    0.0000","0.000000","  0.000000","   0.00","0","    0.00","   0.000","0","  0.00000","     0.0","0.000000","0.000000e+00"," 0.00000","    0.00000","    0.00","   0.000","0","0","0","  0.000000","0"," 0.00000","0","0","0","    0.0000","   0.00"," 0.00000","   0.000","    0.00"," 0.00000","  0.0000","0","0","0.000000","    0.00000","    0.00","   0.000","0","0","0","    0.00","0","0"," 0.00000","    0.00","0","0","0.000000","0.00000000","   0.000","    0.00","0"," 0.00000","   0.000","    0.000","    0.00","0","    0.00","     0.0","     0.00"," 0.00000","0","   0.000000","    0.00","0","0","      0.00","0","    0.000","0","0","0.000000e+00","0","0","0.000000e+00","0.000000","0","0","0","     0.0","0","    0.000000","0","   0.000","0","0","    0.00","      0.0","    0.00","  0.0000","0","0","  0.0000","0","0","0","0","0","0","0","   0.000","0","0","    0.00000","  0.0000"," 0.0000","    0.00","  0.000","    0.00","0"
